,,,
"Distribution of Population by Land Area and Population Density by Sub-County,",,,
Source: 2019 Kenya Population and Housing Census Volume I: Population by County and Sub-County,,,
https://wwwknbsorke/?wpdmpro=2019-kenya-population-and-housing-census-volume-i-population-by-county-and-sub-county,,,
"Population, Land area, Population density, Sub-county, County, Kenya",,,
,,,
National/ County,Population,Land Area (Sq. Km),Population Density (No. per Sq. Km)
Kangema           ,80447,173.7,463
Mathioya            ,92814,177.5,523
Kahuro             ,88193,169.4,521
Murang'a South       .,184824,456.9,405
Gatanga            ,187989,532.3,353
Kigumo            ,136921,244.2,561
Kandara            ,175098,234.6,746
Aberdare Forest      ,43,294.7,0
Kiambu             . ,2417735,2538.6,952
Gatundu North          ,109870,285.9,384
Gatundu South          ,122103,193.6,631
Githunguri            ,165232,174.4,948
Juja             . ,300948,342,880
Kabete             ,199653,60.7,3289
Kiambaa            ,236400,91.1,2595
Kiambu             ,145903,98.3,1484
Kikuyu             .,187122,172.9,1082
Lari             . ,135303,432.3,313
Limuru             ,159314,285.1,559
Ruiru             . ,371111,201.1,1846
Thika East            ,38956,109.9,354
Thika West           ,245820,91.4,2689
Turkana             .,926976,68232.9,14
Kibish             .,36769,10466.1,4
Loima             .,107795,9113.3,12
Turkana Central         ,185305,6415.2,29
Turkana East          ,138526,11395.6,12
Turkana North          ,65218,7012.2,9
Turkana South          ,153736,7051.5,22
Turkana West          ,239627,16778.9,14
West Pokot            ,621241,9123.2,68
Kipkomo            ,102633,765.6,134
Pokot Central          ,119016,2055.2,58
Pokot North           ,134485,3910.9,34
Pokot South           ,80661,536.7,150
West Pokot           ,184446,1854.8,99
Samburu             ,310327,21065.1,15
Samburu Central       ,164942,3674.4,45
Samburu East          ,77994,1015.9,8
Samburu North         ,67391,7374.8,9
Trans Nzoia            ,990341,2495.2,397
Trans Nzoia West       ,202377,355.4,569
Trans Nzoia East       ,229538,629.1,365
Kwanza             ,203821,465.3,438
Endebess            ,111782,678.4,165
Kiminini             ,242823,366.9,662
Uasin Gishu            ,1163186,3392.2,343
Ainabkoi            ,138184,492.9,280
Kapseret            ,198499,299.3,663
Kesses             ,148798,731,204
Moiben             ,181338,769.8,236
Soy             . ,229094,667.6,343
Turbo             . ,267273,431.4,620
Elgeyo/Marakw et         ,454480,3032,150
Keiyo North           ,99176,543.2,183
Keiyo South           ,120750,897.8,134
Marakwet Eas t          ,97041,853.2,114
Marakwet Wes t         ,137513,737.9,186
Nandi             . ,885711,2855.8,310
Chesumei            ,164133,474.6,346
Nandi Central          ,147553,362.9,407
Nandi East           ,119173,397.6,300
Nandi North           ,166171,606.3,274
Nandi South           ,172750,457.4,378
Tinderet             ,115931,557.1,208
Baringo             .,666763,10976.4,61
Baringo Central         ,96951,786.5,123
Baringo North          ,104871,1629.3,64
East Pokot           ,79923,2500.5,32
Koibatek            ,129535,938.6,138
Marigat             ,90955,1453.4,63
Mogotio             ,91104,1375.3,66
Tiaty East            ,73424,2106.5,35
Laikipia             .,518560,9532.2,54
Laikipia Central         ,95594,1232.6,78
Laikipia East          ,102815,1539,67
Laikipia North          ,36184,2575,14
Laikipia West          ,129263,3372.2,38
Nyahururu            ,154704,813.4,190
Nakuru             . ,2162202,7462.4,290
Gilgil             . ,185209,1075.4,172
Kuresoi North          ,175074,618.1,283
Kuresoi South          ,155324,548.2,283
Molo             . ,156732,483.2,324
Naivasha            ,355383,1958.4,181
Nakuru East           ,193926,230.9,840
Nakuru North          ,218050,387.3,563
Nakuru West          ,198661,71.9,2764
Njoro             . ,238773,699.5,341
Rongai             ,199906,988.1,202
Subukia             ,85164,401.5,212
Narok             . ,1157873,17950.3,65
Narok East           ,115323,2042,56
Narok North           ,251862,2159.4,117
Narok South           ,238472,4577.3,52
Narok West           ,195287,5563,35
Trans Mara East       .,111183,309.8,359
Trans Mara West       ,245714,2545.9,97
Mau Forest*           ,32,752.9,0
Kajiado             . ,1117840,21871.1,51
Is inya             .,210473,1071.6,196
Kajiado Central         ,161862,4239.5,38
Kajiado North          ,306596,110.6,2773
Kajiado West          ,182849,7862.1,23
Loitokitok            ,191846,6336.7,30
Mas huuru            ,64214,2250.7,29
Kericho             .,901777,2436.1,370
Belgut             .,145072,264.3,549
Bureti             .,199470,320.6,622
Kericho East           ,170625,240.6,709
Kipkelion            ,122530,349.9,350
Londiani            ,137580,399.5,344
Soin Sigowet          ,126500,466.2,271
Mau Fores t           ,0,201.2,0
Tinderet Forest*      .,0,193.7,0
Bomet             . ,875689,2530.9,346
Bomet East           ,144275,305,473
Chepalungu           ,164837,460.5,358
Konoin             ,163507,392.5,417
Sotik             . ,227855,544.3,419
Bomet Central          ,175215,286.1,613
Mau Fores t*           ,0,542.3,0
Kakamega            ,1867579,3020,618
Butere             .,154100,210.1,734
Kakamega Central      ,188212,155.2,1212
Kakamega East         ,167641,417.2,402
Kakamega North       ,238330,420.8,566
Kakamega South       ,111743,146.2,764
Khwisero            ,113476,145.6,780
Likuyani             ,152055,316.1,481
Lugari             .,122728,254.3,483
Matete             .,66172,102.7,644
Matungu            ,166940,279.1,598
Mum ias  Eas t          ,116851,150.2,778
Mum ias  Wes t          ,115354,163.3,706
Navakholo            ,153977,259.3,594
Vihiga             . ,590013,563.8,1047
Emuhaya            ,97141,89,1091
Vihiga             .,95292,90.1,1058
Sabatia             ,131628,111.4,1181
Luanda             ,106694,84.3,1265
Hamisi             ,159241,157.2,1013
Kakamega Forest*      ,17,31.7,1
Bungoma             ,1670570,3023.9,552
Bumula             ,215892,345.2,625
Bungoma Central       ,177748,232.7,764
Bungoma East          ,114548,163.3,702
Bungoma North         ,121317,191.5,633
Bungoma South       .,287765,321.2,896
Cheptais            ,136035,222.9,610
Kimilili-Bungoma       ,162038,179.6,902
Mt. Elgon            ,78873,126.5,624
Bungoma West         ,119875,211,568
Tongaren            ,100343,185.3,542
Webuye West          ,152515,238.9,638
Mt. Elgon Fores t*       ,3621,605.8,6
Busia             . ,893681,1696.3,527
Bunyala             ,85977,192.2,447
Busia             .,142408,196,727
Butula             .,140334,243.6,576
Nambale            ,111636,238.1,469
Samia             .,107176,262.4,408
Teso North           ,138034,261,529
Teso South           ,168116,302.9,555
Siaya             . ,993183,2529.8,393
Siaya             . ,224343,598.9,375
Gem             . ,179792,405.3,444
Ugenya             ,134354,323.5,415
Ugunja             ,104241,201,519
Bondo             .,197883,598.8,330
Rarieda             ,152570,402.4,379
Kisumu             . ,1155574,2085.4,554
Kisumu East          ,220997,141.6,1560
Kisumu Central         ,174145,36.8,4737
Kisumu West          ,172821,209,827
Seme             .,121667,267.7,455
Muhoroni            ,154116,657.5,234
Nyando             ,161508,446.1,362
Nyakach            ,150320,326.7,460
Homa Bay             ,1131950,3152.5,359
Homa Bay            ,117439,182,645
Ndhiwa             ,218136,713.5,306
Rachuonyo North       ,178686,435.4,410
Rachuonyo East       .,121822,250.9,486
Rachuonyo South       ,130814,256.1,511
Rangwe             ,117732,274.1,429
Suba North           ,124938,406.3,307
Suba South           ,122383,634.1,193
Migori ,1116436,2613.5,427
Awendo             ,117290,255.3,459
Kuria East            ,96872,187.6,516
Kuria West           ,208513,395.7,527
Nyatike             ,176162,676.9,260
Rongo,124587,213.4,584
Suna East            ,122674,205.1,598
Suna West           ,128890,287.5,448
Uriri,141448,392.1,361
Kisii ,1266860,1323,958
Etago,83787,108.4,773
Gucha,83740,82.1,1020
Gucha South          ,83623,94.9,881
Kenyenya            ,131740,141.7,930
Kisii Central           ,166906,135.8,1229
Kisii South           ,135134,128.3,1054
Kitutu Central          ,154175,100.3,1537
Marani             .,107464,128.4,837
Mas aba South          ,122396,161.2,759
Nyam ache           ,130898,162.7,805
Sameta             ,66997,79.1,847
Nyamira             .,605576,897.3,675
Borabu             ,73167,246.9,296
Manga             .,94209,111.5,845
Mas aba North          ,111860,141.7,789
Nyam ira North          ,167267,215.7,775
Nyam ira South          ,159073,181.5,876
Nairobi City            ,4397073,703.9,6247
Dagoretti            ,434208,29.1,14908
Embakasi            ,988808,86.3,11460
Kamukunji           ,268276,10.5,25455
Kasarani            ,780656,86.2,9058
Kibra             . ,185777,12.1,15311
Lang'ata            ,197489,216.8,911
Makadara            ,189536,11.7,16150
Mathare             ,206564,3,68941
Njiru             . ,626482,129.9,4821
Starehe             ,210423,20.6,10205
Westlands            ,308854,97.5,3167
